CODIGO_DEL_DEPARTAMENTO_PROGRAMA;NAME_1;CODIGO_DEL_MUNICIPIO_PROGRAMA;NAME_2;ID_1;ID_2
11;CUNDINAMARCA;11001;BOGOTA D.C.;14;568
5;ANTIOQUIA;5001;MEDELLIN;2;76
17;CALDAS;17001;MANIZALES;8;356
76;VALLE DEL CAUCA;76520;PALMIRA;30;1037
25;CUNDINAMARCA;25754;SOACHA ;14;574
76;VALLE DEL CAUCA;76001;CALI;30;1043
15;BOYACA;15778;SUTATENZA;6;301
15;BOYACA;15798;TENZA;6;303
19;CAUCA;19318;GUAPI;11;418
15;BOYACA;15001;TUNJA;6;312
15;BOYACA;15176;CHIQUINQUIRA;6;216
15;BOYACA;15180;CHISCAS;6;217
15;BOYACA;15238;DUITAMA;6;229
15;BOYACA;15299;GARAGOA;6;236
15;BOYACA;15332;GUICAN;6;240
15;BOYACA;15469;MONIQUIRA;6;253
15;BOYACA;15480;MUZO;6;255
15;BOYACA;15572;PUERTO BOYACA;6;270
15;BOYACA;15646;SAMACA;6;277
15;BOYACA;15753;SOATA;6;291
15;BOYACA;15759;SOGAMOSO;6;294
25;CUNDINAMARCA;25200;COGUA;14;510
25;CUNDINAMARCA;25394;LA PALMA;14;538
50;META;50006;ACACIAS;20;683
68;SANTANDER;68077;BARBOSA;27;858
68;SANTANDER;68190;CIMITARRA;27;874
85;CASANARE;85001;YOPAL;10;406
85;CASANARE;85162;MONTERREY;10;393
13;BOLIVAR;13001;CARTAGENA;5;170
25;CUNDINAMARCA;25297;GACHETA;14;523
5;ANTIOQUIA;5615;RIONEGRO;2;92
15;BOYACA;15762;SORA;6;297
25;CUNDINAMARCA;25290;FUSAGASUGA;14;520
25;CUNDINAMARCA;25372;JUNIN;14;535
50;META;50150;CASTILLA LA NUEVA;20;686
50;META;50226;CUMARAL ;20;687
50;META;50313;GRANADA;20;692
68;SANTANDER;68081;BARRANCABERMEJA;27;860
76;VALLE DEL CAUCA;76622;ROLDANILLO;30;1041
91;AMAZONAS;91001;LETICIA;1;4
94;GUAINIA;94001;INIRIDA;15;610
50;META;50350;LA MACARENA;20;694
15;BOYACA;15162;CERINZA;6;213
15;BOYACA;15757;SOCHA;6;292
25;CUNDINAMARCA;25594;QUETAME;14;560
50;META;50573;PUERTO LOPEZ;20;701
19;CAUCA;19001;POPAYAN;11;431
19;CAUCA;19698;SANTANDER DE QUILICHAO ;11;437
19;CAUCA;19455;MIRANDA;11;425
66;RISARALDA;66001;PEREIRA;25;847
88;SAN ANDRES Y PROVIDENCIA;88001;SAN ANDRES;26;854
66;RISARALDA;66594;QUINCHIA;25;849
63;QUINDIO;63001;ARMENIA;24;826
66;RISARALDA;66687;SANTUARIO;25;851
66;RISARALDA;66572;PUEBLO RICO;25;848
73;TOLIMA;73001;IBAGUE;29;987
66;RISARALDA;66456;MISTRATO;25;846
52;NARINO;52001;PASTO ;21;761
17;CALDAS;17614;RIOSUCIO;8;365
50;META;50001;VILLAVICENCIO;20;710
23;CORDOBA;23001;MONTERIA;7;333
23;CORDOBA;23417;LORICA ;7;345
23;CORDOBA;23466;MONTELIBANO;7;332
23;CORDOBA;23555;PLANETA RICA;7;334
23;CORDOBA;23660;SAHAGUN;7;341
23;CORDOBA;23189;CIENAGA DE ORO;7;328
41;HUILA;41001;NEIVA;17;634
41;HUILA;41551;PITALITO;17;639
41;HUILA;41396;LA PLATA;17;632
